# Created by: hb
# Created on: 2019-04-23 09:46:03-07:00
# Total funits: 15255
# Total queue_slots: 5006
# Number of projects: 35
funits	queue_slots	project		
27	8	schreinerlab		
280	88	fraserlab		
253	79	surbecklab		
214	67	ferrinlab		
212	66	elsamadlab		
166	52	dilllab		
12	4	maleylab		
151	47	degradolab		
9	3	sysbiocenter		
11	3	kroganlab		
118	37	tanglab		
119	37	fischbachlab		
109	34	nagarajanmukherjeelab		
90	28	lilab		
901	282	pollardlab		
874	274	mac-users		
64	20	turnbaughlab		
65	20	baranzinilab		
2	1	voigtlab		
2	1	cohenlab		
627	196	kortemmelab		
594	186	jacobsonlab		
54	17	chiulab		
1	164	shoichetlab		
48	15	zaitlenlab		
48	15	saviclab		
497	156	limlab		
475	149	hernandezlab		
445	139	genetics		
4149	1299	agardlab,chenglab,frostlab,stroudlab		
4054	1269	salilab		
36	11	jameslab		
381	119	babbittlab		
135	110	grabelab		
32	10	weissmanlab		
